brand,material_raw,price_current,price_mrp,product_id,rating,review_count,title
Yashika,banarasi,498.0,1799.0,B0FFTKKPRB,,4.3,257.0,banarasi kanjivaram silk woven saree | animal printed patola silk saree
SIRIL,kanjivaram,1658.0,5999.0,B0F2FZ2F6N,,2.9,22.0,kanjivaram soft silk jacquard saree with unstitched blouse piece
dB DESH BIDESH,kanjivaram,665.0,4299.0,B0C6NSGX7C,,3.7,166.0,women’s kanjivaram style cotton silk saree banarasi saree for wedding soft silk saree party wear traditional gulab designer saree with blouse piece
New Season,kanjivaram,1899.0,8999.0,B0G2XJ9FW2,,5.0,1.0,kanjivaram pure soft silk saree with unstitched blouse piece
Necwa,kanjivaram,848.0,2999.0,B0G3WB5WRM,,4.1,5.0,kanjivaram lichi silk traditional saree with attach unstitch blouse piece
New Season,kanjivaram,1999.0,8999.0,B0G486GYQ8,,,,kanjivaram pure soft silk saree with unstitched blouse piece
SATIKA VASTRAM,kanjivaram,1424.0,2999.0,B0D3QJ3GK8,,5.0,1.0,kanjivaram silk saree with pure soft zari woven floral design with heavy contrast border and pallu attach blouse piece
Sugathari,banarasi,549.0,2299.0,B0CRYBCQJ2,,3.8,161.0,banarasi saree pure kanjivaram silk saree soft new ladies 2023 design wear pattu sarees latest party sari collections with blouse piece for wedding sadi (sam pari s-6)
New Season,,499.0,1799.0,B0GLHMTFLM,,5.0,6.0,shasmi
C J Enterprise,kanjivaram,549.0,999.0,B0CRBBVK2S,,4.1,120.0,women’s pure kanjivaram soft silk saree banarasi style ladies sadi with blouse piece for wedding (eagle-3-51)
New Season,kanjivaram,1299.0,8999.0,B0G1YMSRGS,,,,kanjivaram pure soft silk saree with unstitched blouse piece
New Season,banarasi,499.0,1799.0,B0GN8YYHZ2,,,,banarasi saree pure kanjivaram silk saree soft new ladies 2026 design wear pattu sarees latest cotton party sari collections with blouse piece for wedding sadi (pari 73)
Glory Sarees,,999.0,3499.0,B0FW4HHWLZ,,4.0,1.0,glory sarees
SWORNOF,,999.0,3999.0,B0CM1WB5P2,,4.1,140.0,swornof
Sugathari,banarasi,499.0,2499.0,B0CKL78ZBN,,3.9,30.0,banarasi saree pure kanjivaram silk saree soft new ladies 2023 design wear pattu sarees latest cotton party sari collections with blouse piece for wedding sadi (pari 181 maroon)
Avantika Fashion,kanjivaram,791.0,2499.0,B0DTHL8M7M,,3.8,26.0,kanjivaram soft silk banarasi sarees with blouse piece
iZibra,cotton,1398.0,1999.0,B09V54Z1WS,,4.0,72.0,sarees wear cotton silk banarasi sari kanjivaram soft 2024 wedding original pure kanchipuram pattu sadi with blouse piece (barmasi)
NEW COLLECTION,banarasi,737.0,1999.0,B0FVG5YGWV,,3.5,5.0,banarasi satin kanjivaram saree wine silver zari pure soft blend silk saree satin women pure kanchipuram paithani silk party wedding new ladies wine color sari with blouse piece
New Season,kanjivaram,1699.0,8999.0,B0G34ZY7HH,,5.0,2.0,kanjivaram organza paithani pure soft silk saree with blouse piece
AKHILAM,cotton,1399.0,7679.0,B07J2MQKGF,,3.9,1300.0,cotton silk botanical woven design saree with unstitched blouse piece
Generic,,1299.0,2499.0,B0FF24P7DF,,5.0,1.0,shirodhari chanderi silk fancy saree with unstitched blouse (label_1)
Sugathari,,499.0,1799.0,B0FM7JMMMM,,4.3,51.0,"maroon banarasi kanchipuram art silk saree – traditional wedding & party saree with blouse piece – ethnic indian silk saree for bridal, festive (ks-156)"
Manvicare,,399.0,599.0,B0DNNH6XS3,,3.0,2.0,"plain chanderi silk yellow orange haldi color for haldi function, ceremony for girls,women saree, 45 inches width, 5.5 meters length"
Yashika,,498.0,1799.0,B0DS8KR7VT,,4.1,109.0,banarasi kanjivaram cotton silk woven saree with unstitched blouse material
GAJARAI,,1099.0,5495.0,B0BZQ1QFDD,,5.0,1.0,chanderi cotton silk saree with blouse piece (kashvi)
SHREGHAR FASHION,,849.0,3999.0,B0GHH6S96C,,,,"women’s chanderi cotton silk saree | fancy designer traditional ethnic saree with unstitched blouse for festive, wedding & family functions(cream,brown print)"
SIRIL,,479.0,2919.0,B0DP7DYQXW,,3.8,139.0,pure kanjivaram silk saree soft sarees banarasi style with blouse piece for wedding
Sugathari,,499.0,1799.0,B0FM7K8D7B,,4.4,25.0,"indigo blue banarasi kanchipuram silk saree – traditional wedding & party saree with blouse piece – ethnic indian silk saree for bridal, festive (ks-102)"
Amazon Brand - Anarva,,1599.0,6500.0,B0BSQXKKM8,,3.9,340.0,silk saree with blouse piece | saree
Yashika,,799.0,1799.0,B0FRXX78M9,,,,chanderi silk floral printed saree with unstitched blouse piece |saree | new sari | latest saree_az-ya-og2-toofaan chiku
C J Enterprise,,549.0,2999.0,B0F8ZLHTGK,,4.2,820.0,kanjivaram silk sari pure banarasi soft silk sarees with blouse piece for wedding (pari100-51)
Avantika Fashion,,391.0,2499.0,B0CY2JBP58,,3.8,567.0,kanjivaram soft pure silk banarasi sarees with blouse piece
JYA - PAMPER YOURSELF,,798.0,2999.0,B0FK55X2MM,,3.6,3.0,jya chanderi silk sarees | traditional ethnic printed design soft fabric sari for wedding & party with blouse piece
MIRCHI FASHION,,599.0,37911.0,B0CMTYDHWJ,,4.0,294.0,silk blend floral printed saree with blouse piece
